Project,Summary,Description,State (state),Priority (enum),Type (enum),Epic (enum),Module (enum),Repository (enum multi),Fase (enum)
CG,"[FE] Visualizar dados de pagamento no painel admin","Exibir informacoes de pagamento nos detalhes do pedido no painel.

Tarefas:
- Adicionar secao de pagamento no PedidoForm/detalhe
- Exibir: metodo, status, asaas_id, valor, data
- Nao permitir edicao manual do status de pagamento
- Permitir consulta forcar atualizacao via Asaas

Criterios de aceite:
- Admin/seller ve status de pagamento no pedido
- Dados sao readonly (controlados pelo gateway)","Open","Alta","Task","EPIC-08: Pagamento","Backoffice","cervagelada_frontend","Fase 3"
CG,"EPIC-09: Gestao de Pedido e Operacao Seller","Objetivo: alinhar o ciclo do pedido ao processo real de delivery e dar ferramentas operacionais ao seller. Cobre RF-12 e RF-13.

Requisitos cobertos:
- RF-12: Envio de pedido ao seller apos pagamento
- RF-13: Status do pedido (recebido, aceito, em entrega, entregue)

Dependencias:
- EPIC-08 (pagamento confirmado necessario para despachar)

Entregaveis:
- Maquina de estados do pedido revisada
- Pedido so chega ao seller apos pagamento confirmado
- Painel operacional do seller com acoes de fluxo
- Notificacao de novo pedido para seller
- Acompanhamento em tempo real para consumidor","Open","Critica","Epic","EPIC-09: Gestao de Pedido","Pedidos","cervagelada, cervagelada_frontend, cervagelada_back_api","Fase 3"
CG,"[BE] Reestruturar estados do pedido (separar pagamento e fulfillment)","Os enums atuais (pendente, preparando, pronto, em_rota, entregue, cancelado) nao cobrem estados de pagamento.

Tarefas:
- Migrar enum de status do pedido para: aguardando_pagamento, recebido, aceito, preparando, pronto, em_rota, entregue, cancelado
- Criar maquina de estados com transicoes validas
- Atualizar PedidoService com validacao de transicao
- Atualizar PedidoRequest com novos valores
- Atualizar dashboard (resumoLoja) com novos status

Criterios de aceite:
- Transicoes invalidas retornam erro 422
- Estados de pagamento e fulfillment nao se confundem","Open","Critica","Task","EPIC-09: Gestao de Pedido","Backend","cervagelada_back_api","Fase 3"
CG,"[BE] Bloquear envio ao seller sem pagamento confirmado","Implementar regra: pedido so avanca para 'recebido' apos pagamento confirmado.

Tarefas:
- Validar no webhook: ao confirmar pagamento, mudar pedido para 'recebido'
- Impedir transicao manual de aguardando_pagamento para qualquer estado operacional
- Tratar timeout de pagamento (expirar pedido e repor estoque)

Criterios de aceite:
- Seller nao ve pedido antes do pagamento
- Timeout limpa pedidos nao pagos","Open","Critica","Task","EPIC-09: Gestao de Pedido","Backend","cervagelada_back_api","Fase 3"
CG,"[BE] Implementar notificacao de novo pedido para seller","Notificar loja quando pedido pago entrar em fila.

Tarefas:
- Definir canal: email, push, websocket ou webhook proprio
- Disparar evento NewOrderReceived apos pagamento confirmado
- Criar Notification class do Laravel
- Registrar log de disparo e entrega

Criterios de aceite:
- Seller recebe alerta de novo pedido
- Falha de notificacao pode ser auditada","Open","Alta","Task","EPIC-09: Gestao de Pedido","Backend","cervagelada_back_api","Fase 3"
CG,"[FE] Criar painel operacional de pedidos para seller","Tela otimizada para operacao diaria do seller (diferente do CRUD tecnico).

Tarefas:
- Criar pagina /pedidos/operacao
- Colunas Kanban ou cards por status: recebido, aceito, preparando, em_rota
- Botoes de acao contextual: aceitar, iniciar preparo, despachar, concluir
- Timer desde a entrada do pedido
- Auto-refresh a cada 30s
- Filtro por data e busca por cliente

Criterios de aceite:
- Seller opera pedidos sem acessar CRUD tecnico
- Acoes atualizam status via PATCH /api/pedidos/{id}/status","Open","Alta","Task","EPIC-09: Gestao de Pedido","Backoffice","cervagelada_frontend","Fase 3"
CG,"[SITE] Criar tela de acompanhamento de pedido para consumidor","Exibir status em tempo real do pedido.

Tarefas:
- Criar pagina /pedido/{id}/acompanhamento
- Stepper visual com status: pagamento, recebido, preparando, em rota, entregue
- Tempo estimado de entrega
- Polling ou SSE para atualizacoes em tempo real
- Mostrar PIN de entrega quando pedido sair para rota

Criterios de aceite:
- Consumidor acompanha pedido sem refresh manual
- Transicoes sao refletidas em tempo real","Open","Alta","Task","EPIC-09: Gestao de Pedido","Site Publico","cervagelada","Fase 3"
CG,"EPIC-10: Entrega e Validacao PIN","Objetivo: implementar validacao de entrega por PIN para evitar fraudes. Cobre RF-14.

Requisitos cobertos:
- RF-14: Validacao de entrega via PIN (definido pelo usuario ou ultimos digitos do telefone)

Dependencias:
- EPIC-09 (fluxo de pedido operacional)

Entregaveis:
- PIN gerado por pedido
- Seller/entregador valida PIN na conclusao
- Tentativas registradas para auditoria
- Pedido nao pode ser concluido sem PIN valido","Open","Alta","Epic","EPIC-10: Entrega PIN","Entrega","cervagelada, cervagelada_frontend, cervagelada_back_api","Fase 3"
CG,"[BE] Implementar geracao e validacao de PIN de entrega","Gerar PIN e validar na conclusao do pedido.

Tarefas:
- Adicionar campo pin_entrega (varchar 6) e pin_validado_em na tabela pedidos
- Gerar PIN automaticamente ao criar pedido (4-6 digitos aleatorios)
- Criar endpoint POST /api/pedidos/{id}/validar-pin
- Validar PIN antes de permitir transicao para 'entregue'
- Registrar tentativas de validacao (tabela ou log)
- Permitir max 3 tentativas antes de bloquear

Criterios de aceite:
- PIN e unico por pedido
- Entrega sem PIN valido e bloqueada
- Tentativas sao auditaveis","Open","Alta","Task","EPIC-10: Entrega PIN","Backend","cervagelada_back_api","Fase 3"
CG,"[FE] Adicionar validacao de PIN no painel do seller","Input de PIN na acao de concluir entrega.

Tarefas:
- No painel operacional, ao clicar 'Concluir Entrega', abrir dialog de PIN
- Input numerico de 4-6 digitos
- Chamar endpoint de validacao
- Exibir erro se PIN incorreto
- Bloquear apos 3 tentativas

Criterios de aceite:
- Seller precisa do PIN para finalizar
- Feedback claro de erro","Open","Alta","Task","EPIC-10: Entrega PIN","Backoffice","cervagelada_frontend","Fase 3"
CG,"[SITE] Exibir PIN de entrega para consumidor","Mostrar PIN na tela de acompanhamento.

Tarefas:
- Exibir PIN em destaque quando pedido estiver em rota
- Mensagem: 'Informe este codigo ao entregador'
- Opcionalmente permitir compartilhar PIN via WhatsApp

Criterios de aceite:
- PIN visivel apenas quando pedido esta em rota
- Design claro e legivel","Open","Alta","Task","EPIC-10: Entrega PIN","Site Publico","cervagelada","Fase 3"
CG,"EPIC-11: Promocoes","Objetivo: tornar promocoes dinamicas no site publico e melhorar gestao no painel. Cobre RF-15 e RF-16.

Requisitos cobertos:
- RF-15: Marcacao de produto promocional pelo seller
- RF-16: Carrossel de promocoes dinamico no site (clique leva para loja)

Dependencias:
- EPIC-04 (lojas publicas)
- EPIC-05 (vitrine funcional)

Entregaveis:
- Carrossel de promocoes com dados reais no site
- Clique no produto leva para loja correta
- Seller gerencia promocoes pelo painel (ja existente)","Open","Alta","Epic","EPIC-11: Promocoes","Promocoes","cervagelada, cervagelada_back_api","Fase 4"
CG,"[BE] Criar endpoint publico de promocoes ativas","Listar promocoes vigentes com produtos e lojas.

Tarefas:
- GET /api/public/promocoes?lat=X&lng=Y
- Filtrar por: ativo=true, data_inicio <= hoje <= data_fim, loja dentro do raio
- Retornar: titulo, produtos com preco_promocional, loja_id, loja_nome
- Ordenar por relevancia ou proximidade

Criterios de aceite:
- Apenas promocoes ativas e acessiveis aparecem
- Dados suficientes para montar card de produto promocional","Open","Alta","Task","EPIC-11: Promocoes","API Publica","cervagelada_back_api","Fase 4"
CG,"[SITE] Integrar carrossel de promocoes com dados reais","Substituir SectionPromocoes.vue hardcoded por dados da API.

Tarefas:
- Chamar endpoint publico de promocoes
- Montar cards com: imagem, nome, preco original, preco promocional, loja
- Clique no card redireciona para vitrine da loja
- Skeleton loading
- Tratar lista vazia

Criterios de aceite:
- Promocoes reais aparecem no carrossel
- Navegacao para loja funciona","Open","Alta","Task","EPIC-11: Promocoes","Site Publico","cervagelada","Fase 4"
CG,"EPIC-12: Destaques e Monetizacao","Objetivo: implementar area de destaques patrocinados para monetizacao da plataforma. Cobre RF-17, RF-18 e RF-19.

Requisitos cobertos:
- RF-17: Area de destaques patrocinados (R$10.000/30 dias)
- RF-18: Landing page de destaque com imagem, video, descricao
- RF-19: Redirecionamento inteligente para loja mais proxima com o produto

Dependencias:
- EPIC-04 (lojas publicas)
- EPIC-03 (localizacao para loja mais proxima)

Entregaveis:
- Dominio de destaque patrocinado (campanha, periodo, midia)
- Landing page publica por destaque
- Botao 'Comprar' busca loja mais proxima com o produto
- Gestao no painel admin","Open","Alta","Epic","EPIC-12: Destaques","Monetizacao","cervagelada, cervagelada_frontend, cervagelada_back_api","Fase 4"
CG,"[BE] Criar dominio de Destaque Patrocinado","Novo dominio para campanhas de destaques.

Tarefas:
- Criar app/Domains/Destaque/
- Model Destaque: titulo, descricao, imagem, video_url, cta_texto, cta_url, produto_id (nullable), data_inicio, data_fim, valor_contrato, ativo
- Migration com tabela destaques
- Controller com CRUD padrao
- Request com validacoes
- Routes admin e publicas
- Adicionar permissoes ao permission_list.php

Criterios de aceite:
- Destaque pode ser criado, editado e desativado
- Campos de midia suportam imagem e video","Open","Alta","Task","EPIC-12: Destaques","Backend","cervagelada_back_api","Fase 4"
CG,"[BE] Criar endpoint publico de destaques ativos","Listar destaques vigentes para o site consumidor.

Tarefas:
- GET /api/public/destaques
- Filtrar ativo=true e dentro do periodo
- Ordenar por prioridade ou data
- Retornar dados de midia e CTA

Criterios de aceite:
- Destaques expirados nao aparecem
- Dados suficientes para montar banner/card","Open","Alta","Task","EPIC-12: Destaques","API Publica","cervagelada_back_api","Fase 4"
CG,"[BE] Implementar busca de loja mais proxima por produto (RF-19)","Ao clicar 'Comprar' em destaque, encontrar loja mais proxima que tenha o produto.

Tarefas:
- GET /api/public/produtos/{id}/loja-proxima?lat=X&lng=Y
- Buscar em loja_produtos onde produto_id=X, ativo=true, estoque>0
- Filtrar lojas dentro do raio do consumidor
- Ordenar por distancia
- Retornar loja mais proxima com preco

Criterios de aceite:
- Retorna loja unica mais proxima ou lista ranqueada
- Se nenhuma loja tiver o produto, retorna mensagem adequada","Open","Alta","Task","EPIC-12: Destaques","API Publica","cervagelada_back_api","Fase 4"
CG,"[FE] Criar CRUD de destaques patrocinados no painel admin","Interface para admin gerenciar campanhas de destaque.

Tarefas:
- Criar paginas /destaque/ (index, cadastrar, editar)
- Formulario com: titulo, descricao, imagem, video, CTA, periodo, produto vinculado
- Listagem com filtro por status e data
- Adicionar ao menu de navegacao

Criterios de aceite:
- Admin gerencia destaques pelo painel
- Upload de imagem e video funcional","Open","Alta","Task","EPIC-12: Destaques","Backoffice","cervagelada_frontend","Fase 4"
CG,"[SITE] Criar area de destaques patrocinados e landing page","Implementar secao e pagina de destaque no site publico.

Tarefas:
- Criar componente SectionDestaques.vue com banner/card de destaque
- Criar pagina /destaque/[id].vue com landing: imagem, video, descricao
- Botao 'Conhecer' leva para landing
- Botao 'Comprar' chama endpoint de loja mais proxima e redireciona
- Responsivo mobile-first

Criterios de aceite:
- Destaque exibido com midia rica
- Botao comprar leva para loja correta","Open","Alta","Task","EPIC-12: Destaques","Site Publico","cervagelada","Fase 4"
CG,"EPIC-13: Conteudo e Noticias","Objetivo: transformar o modulo de noticias em um feed real consumido pelo site publico, com fonte obrigatoria e sinalizacao de patrocinio. Cobre RF-20, RF-21 e RF-22.

Requisitos cobertos:
- RF-20: Feed de noticias CervaGelada News
- RF-21: Pagina interna de noticia (sem redirecionamento externo)
- RF-22: Conteudo patrocinado com identificacao clara

Dependencias:
- EPIC-01 (base estabilizada)

Entregaveis:
- Feed publico de noticias com dados da API
- Pagina interna de leitura de noticia
- Campo fonte obrigatoria
- Selo de conteudo patrocinado","Open","Alta","Epic","EPIC-13: Noticias","Noticias","cervagelada, cervagelada_frontend, cervagelada_back_api","Fase 4"
CG,"[BE] Adicionar campos fonte e patrocinado na tabela noticias","A tabela noticias nao possui campo de fonte nem flag de conteudo patrocinado.

Tarefas:
- Criar migration adicionando: fonte (varchar 150 nullable), url_fonte (varchar 255 nullable), patrocinado (boolean default false), patrocinador (varchar 150 nullable)
- Atualizar model Noticias com novos campos
- Atualizar NoticiasRequest com validacoes
- Atualizar NoticiasService se necessario

Criterios de aceite:
- Noticia pode ter fonte e flag de patrocinio
- Campos sao opcionais para nao quebrar dados existentes","Open","Alta","Task","EPIC-13: Noticias","Backend","cervagelada_back_api","Fase 4"
CG,"[BE] Criar endpoint publico de noticias","Expor feed de noticias sem autenticacao.

Tarefas:
- GET /api/public/noticias (listagem paginada, apenas ativo=true)
- GET /api/public/noticias/{id} (detalhes da noticia)
- Ordenar por publicado_em DESC
- Incluir fonte, patrocinado e patrocinador

Criterios de aceite:
- Endpoints publicos funcional
- Noticias inativas nao aparecem","Open","Alta","Task","EPIC-13: Noticias","API Publica","cervagelada_back_api","Fase 4"
CG,"[FE] Adicionar campos fonte e patrocinado no formulario de Noticias","Atualizar NoticiasForm.vue com novos campos.

Tarefas:
- Adicionar campo fonte (texto)
- Adicionar campo url_fonte (texto)
- Adicionar switch patrocinado
- Exibir campo patrocinador condicionalmente
- Atualizar store e service se necessario

Criterios de aceite:
- Admin informa fonte ao criar noticia
- Flag de patrocinio funciona corretamente","Open","Alta","Task","EPIC-13: Noticias","Backoffice","cervagelada_frontend","Fase 4"
CG,"[SITE] Integrar feed de noticias com dados reais","Substituir SectionNews.vue hardcoded por dados da API.

Tarefas:
- Chamar endpoint publico de noticias
- Montar cards com: imagem, titulo, data, fonte
- Badge 'Conteudo Patrocinado' quando aplicavel
- Skeleton loading

Criterios de aceite:
- Noticias reais no carrossel
- Patrocinados claramente identificados","Open","Alta","Task","EPIC-13: Noticias","Site Publico","cervagelada","Fase 4"
CG,"[SITE] Criar pagina interna de noticia (RF-21)","Leitura de noticia dentro do app, sem redirecionar para site externo.

Tarefas:
- Criar pagina /noticia/[id].vue
- Exibir: titulo, imagem, conteudo formatado, data, fonte
- Selo de patrocinio quando aplicavel
- Botao de compartilhar
- Link para a fonte original (sem redirecionar automaticamente)

Criterios de aceite:
- Noticia e lida dentro da aplicacao
- Fonte e exibida com credito","Open","Alta","Task","EPIC-13: Noticias","Site Publico","cervagelada","Fase 4"
CG,"EPIC-14: Institucional","Objetivo: tirar dados institucionais (contato, redes sociais) do codigo estatico e torna-los gerenciaveis. Cobre RF-23 e RF-24.

Requisitos cobertos:
- RF-23: Tela de contato da CervaGelada
- RF-24: Carrossel de redes sociais

Dependencias:
- Nenhuma critica

Entregaveis:
- Dados de contato e redes sociais gerenciaveis por admin
- Secoes publicas consomem dados dinamicos
- Atualizacao sem deploy","Open","Media","Epic","EPIC-14: Institucional","Institucional","cervagelada, cervagelada_frontend, cervagelada_back_api","Fase 4"
CG,"[BE] Criar dominio de Configuracoes da Plataforma","Dominio para armazenar configs gerenciaveis.

Tarefas:
- Criar app/Domains/Configuracao/
- Model Configuracao: chave (unique), valor (text), tipo (string, json, boolean), grupo
- Migration e seeder com valores iniciais
- Controller com CRUD admin
- Registrar configs: contato_email, contato_telefone, contato_whatsapp, redes_facebook, redes_instagram, redes_youtube, redes_tiktok
- Endpoint publico GET /api/public/configuracoes/{grupo}

Criterios de aceite:
- Admin atualiza contato e redes sem deploy
- Endpoint publico retorna valores atuais","Open","Media","Task","EPIC-14: Institucional","Backend","cervagelada_back_api","Fase 4"
CG,"[FE] Criar tela de gerenciamento de configuracoes no painel","Interface admin para editar configs da plataforma.

Tarefas:
- Criar pagina /configuracoes
- Formulario agrupado: contato, redes sociais, parametros gerais
- Salvar alteracoes via API

Criterios de aceite:
- Admin edita dados sem acessar banco
- Alteracoes refletem imediatamente no site","Open","Media","Task","EPIC-14: Institucional","Backoffice","cervagelada_frontend","Fase 4"
CG,"[SITE] Integrar secoes de contato e redes sociais com dados dinamicos","Substituir dados hardcoded de SectionContato e SectionFooter.

Tarefas:
- Chamar endpoint publico de configuracoes
- Substituir emails, telefones e links de redes estaticos
- Manter layout responsivo

Criterios de aceite:
- Dados de contato e redes vem da API
- Atualizacao pelo painel reflete no site","Open","Media","Task","EPIC-14: Institucional","Site Publico","cervagelada","Fase 4"
CG,"EPIC-15: Relatorios e Dashboard","Objetivo: ampliar o dashboard existente e criar relatorios gerenciais, operacionais e de marketplace. Cobre RNF 5.6.

Requisitos cobertos:
- Relatorios administrativos: usuarios, sellers, status de cadastros, regioes
- Relatorios de marketplace: pedidos, status, itens mais vendidos, ticket medio
- Relatorios exportaveis

Dependencias:
- EPIC-09 (pedidos operacionais)

Entregaveis:
- Dashboard administrativo ampliado com visao global
- Relatorios por periodo com filtros
- Exportacao CSV/PDF
- Visao por regiao/cidade","Open","Alta","Epic","EPIC-15: Relatorios","Relatorios","cervagelada_frontend, cervagelada_back_api","Fase 5"
CG,"[BE] Ampliar dashboard com metricas de usuarios e sellers","Adicionar KPIs de cadastros e operacao regional.

Tarefas:
- Total de usuarios (consumidores) ativos
- Total de sellers (lojas) ativos por tipo
- Cadastros pendentes de aprovacao
- Distribuicao por cidade/estado
- Filtro por periodo

Criterios de aceite:
- Admin (sem loja_id) ve metricas globais
- Seller continua vendo so suas metricas","Open","Alta","Task","EPIC-15: Relatorios","Backend","cervagelada_back_api","Fase 5"
CG,"[BE] Criar endpoints de relatorios de marketplace","Relatorios gerenciais e operacionais de pedidos e vendas.

Tarefas:
- GET /api/dashboard/relatorio/pedidos-por-status?periodo=X
- GET /api/dashboard/relatorio/ticket-medio?periodo=X
- GET /api/dashboard/relatorio/itens-mais-vendidos?periodo=X&limit=N
- GET /api/dashboard/relatorio/categorias-mais-vendidas?periodo=X
- GET /api/dashboard/relatorio/faturamento?periodo=X&agrupamento=dia|semana|mes
- Suportar filtro por loja_id (admin), ou auto loja_id (seller)

Criterios de aceite:
- Relatorios retornam dados corretos para o periodo
- Numeros batem com transacoes registradas","Open","Alta","Task","EPIC-15: Relatorios","Backend","cervagelada_back_api","Fase 5"
CG,"[BE] Implementar exportacao de relatorios em CSV","Permitir download de dados em formato CSV.

Tarefas:
- Adicionar parametro ?export=csv aos endpoints de relatorio
- Gerar CSV com headers legisiveis em portugues
- Stream response para datasets grandes
- Registrar log de exportacao

Criterios de aceite:
- CSV abre corretamente em Excel/Sheets
- Exportacao nao trava para volumes moderados","Open","Media","Task","EPIC-15: Relatorios","Backend","cervagelada_back_api","Fase 5"
CG,"[FE] Ampliar pagina de dashboard com novos widgets","Adicionar cards e graficos das novas metricas.

Tarefas:
- Card de total de usuarios e sellers
- Card de cadastros pendentes
- Grafico de distribuicao regional (mapa ou bar chart por cidade)
- Tabela de itens mais vendidos
- Grafico de ticket medio ao longo do tempo
- Filtros por periodo e loja (admin)

Criterios de aceite:
- Dashboard e informativo e acionavel
- Dados carregam sem lentidao perceptivel","Open","Alta","Task","EPIC-15: Relatorios","Backoffice","cervagelada_frontend","Fase 5"
CG,"[FE] Criar pagina de relatorios com filtros e exportacao","Pagina dedicada a relatorios detalhados.

Tarefas:
- Criar pagina /relatorios
- Tabs ou accordion por tipo: pedidos, vendas, sellers, usuarios
- Filtros: periodo, loja, status, regiao
- Tabela de resultados com paginacao
- Botao de exportar CSV
- Adicionar ao menu de navegacao

Criterios de aceite:
- Admin acessa relatorios detalhados
- Exportacao funciona para cada tipo","Open","Alta","Task","EPIC-15: Relatorios","Backoffice","cervagelada_frontend","Fase 5"
CG,"EPIC-16: Seguranca e Auditoria","Objetivo: implementar trilha de auditoria e controles de seguranca conforme RNF 5.4.

Requisitos cobertos:
- Logs de acesso
- Rastreabilidade de acoes criticas
- Controle de acesso por perfil (admin, seller, consumidor)

Dependencias:
- EPIC-01 (ACL padronizado)

Entregaveis:
- Tabela de audit log com eventos criticos
- Login, falhas de auth, mudancas de status de pedido, eventos financeiros
- Consulta administrativa de logs
- Alertas minimos para falhas operacionais","Open","Alta","Epic","EPIC-16: Seguranca","Seguranca","cervagelada_frontend, cervagelada_back_api","Fase 5"
CG,"[BE] Criar sistema de audit log para eventos criticos","Registrar acoes sensiveis em tabela de auditoria.

Tarefas:
- Criar tabela audit_logs: id, user_id, acao, entidade, entidade_id, dados_anteriores (json), dados_novos (json), ip, user_agent, created_at
- Criar trait Auditable para models
- Registrar: login/logout, falha de login, mudanca de status de pedido, validacao de PIN, eventos de pagamento, criacao/edicao de loja, aprovacao de produto
- Criar AuditLogService

Criterios de aceite:
- Eventos criticos geram registro automatico
- Log inclui quem, quando, o que mudou","Open","Alta","Task","EPIC-16: Seguranca","Backend","cervagelada_back_api","Fase 5"
CG,"[BE] Criar endpoints de consulta de audit log","Permitir admin consultar historico de auditoria.

Tarefas:
- GET /api/audit-logs?user_id=X&acao=Y&entidade=Z&periodo=X
- Paginacao e filtros
- Apenas admin com permissao de seguranca

Criterios de aceite:
- Admin consulta logs por usuario, acao e periodo
- Dados sensiveis nao sao expostos (ex: senhas)","Open","Alta","Task","EPIC-16: Seguranca","Backend","cervagelada_back_api","Fase 5"
CG,"[FE] Criar pagina de consulta de logs de auditoria no painel","Interface admin para consultar trilha de auditoria.

Tarefas:
- Criar pagina /seguranca/audit-logs
- Tabela com: data, usuario, acao, entidade, detalhes
- Filtros por periodo, usuario e tipo de acao
- Expandir linha para ver detalhes (dados anteriores vs novos)
- Adicionar ao menu (modulo Seguranca)

Criterios de aceite:
- Admin ve historico de acoes criticas
- Dados exibidos de forma legivel","Open","Alta","Task","EPIC-16: Seguranca","Backoffice","cervagelada_frontend","Fase 5"
CG,"[BE] Implementar alertas operacionais minimos","Detectar falhas criticas e alertar equipe.

Tarefas:
- Monitorar: falha de webhook Asaas, timeout de pagamento, erros 500 recorrentes
- Implementar via log channel ou notification (email/Slack)
- Criar config de thresholds (ex: 3 falhas em 5min)
- Nao depender de monitoramento externo inicialmente

Criterios de aceite:
- Falhas relevantes geram alerta
- Equipe diagnostica incidentes sem depender de relato do usuario","Open","Media","Task","EPIC-16: Seguranca","Backend","cervagelada_back_api","Fase 5"
CG,"EPIC-17: Testes e Qualidade","Objetivo: garantir cobertura de testes nos fluxos criticos do produto.

Entregaveis:
- Testes unitarios e de integracao no backend
- Testes E2E do fluxo principal do consumidor
- CI configurado para rodar testes automaticamente

Dependencias:
- Todas as epics anteriores (testes acompanham features)","Open","Alta","Epic","EPIC-17: Testes","Qualidade","cervagelada, cervagelada_frontend, cervagelada_back_api","Fase 5"
CG,"[BE] Criar testes de integracao do fluxo de pagamento","Testar integracao com Asaas em sandbox.

Tarefas:
- Testar criacao de cobranca
- Testar processamento de webhook (pago, recusado, estornado)
- Testar conciliacao de transacoes
- Testar timeout e cancelamento

Criterios de aceite:
- Fluxo de pagamento coberto por testes automatizados","Open","Alta","Task","EPIC-17: Testes","Qualidade","cervagelada_back_api","Fase 5"
CG,"[BE] Criar testes de integracao dos endpoints publicos","Testar todos os endpoints publicos do consumidor.

Tarefas:
- Testar consulta de CEP
- Testar listagem de lojas por raio
- Testar catalogo por loja
- Testar criacao de pedido
- Testar busca de loja por produto

Criterios de aceite:
- Endpoints publicos validados contra cenarios reais","Open","Alta","Task","EPIC-17: Testes","Qualidade","cervagelada_back_api","Fase 5"
CG,"[E2E] Criar suite de testes E2E do fluxo do consumidor","Testar jornada completa: localizacao > loja > carrinho > checkout > acompanhamento.

Tarefas:
- Configurar Playwright ou Cypress
- Cenario 1: definir endereco por CEP, ver lojas
- Cenario 2: abrir vitrine, adicionar ao carrinho
- Cenario 3: ir para checkout, confirmar pedido
- Cenario 4: acompanhar status do pedido

Criterios de aceite:
- Suite E2E roda em CI
- Regressao do funil principal e detectada automaticamente","Open","Alta","Task","EPIC-17: Testes","Qualidade","cervagelada, cervagelada_back_api","Fase 5"
CG,"[DEVOPS] Configurar CI para rodar testes automaticamente","Pipeline de CI para backend e testes E2E.

Tarefas:
- Configurar GitHub Actions ou equivalente
- Backend: php artisan test em cada PR
- E2E: rodar suite apos deploy em staging
- Reportar resultado no PR

Criterios de aceite:
- PRs nao podem ser mergeados sem testes passando
- Resultado visivel no GitHub","Open","Media","Task","EPIC-17: Testes","DevOps","cervagelada, cervagelada_back_api","Fase 5"
CG,"EPIC-18: Setup de Roteamento e Navegacao do Site","Objetivo: transformar o site Nuxt de single-page em aplicacao com rotas para suportar paginas internas.

Justificativa: o site atual renderiza tudo em app.vue como scroll unico. Para vitrine de loja, pagina de noticia, checkout, e necessario file-based routing.

Entregaveis:
- Estrutura de paginas Nuxt funcional
- Home como pagina principal
- Rotas publicas para loja, noticia, destaque, carrinho, checkout, pedido
- Layout compartilhado com header e footer","Open","Critica","Epic","EPIC-18: Roteamento Site","Fundacao","cervagelada","Fase 1"
CG,"[SITE] Migrar app.vue para layout + pagina home","Reestruturar para suportar roteamento.

Tarefas:
- Criar app/layouts/default.vue com header e footer
- Criar app/pages/index.vue com o conteudo atual de app.vue (todas as sections)
- Configurar NuxtPage no app.vue
- Verificar que home continua funcionando identicamente

Criterios de aceite:
- Site funciona identicamente a antes (home)
- Roteamento habilitado para novas paginas","Open","Critica","Task","EPIC-18: Roteamento Site","Site Publico","cervagelada","Fase 1"
CG,"[SITE] Criar infraestrutura de comunicacao com API","Setup de HTTP client e estado global para o site consumidor.

Tarefas:
- Instalar e configurar Pinia para state management
- Criar composable useApi() com Nuxt useFetch ou $fetch
- Configurar VITE_API_URL ou runtimeConfig para URL da API
- Criar tratamento padrao de erros
- Criar composable useLocation() para gerenciar contexto de localizacao

Criterios de aceite:
- Site consegue buscar dados da API
- Estado global persistido entre paginas
- URL da API configuravel por ambiente","Open","Critica","Task","EPIC-18: Roteamento Site","Site Publico","cervagelada","Fase 1"
CG,"[SITE] Implementar autenticacao de consumidor no site","Login e registro de consumidor no site publico.

Tarefas:
- Criar pagina /login e /registro
- Integrar com endpoints existentes de auth (login, register)
- Armazenar JWT em cookie httpOnly ou localStorage
- Proteger rotas que exigem auth (carrinho, checkout, pedido)
- Exibir nome do usuario no header quando logado
- Botoes login/registro quando nao logado

Criterios de aceite:
- Consumidor faz login e registro pelo site
- JWT persiste entre sessoes
- Rotas protegidas redirecionam para login","Open","Critica","Task","EPIC-18: Roteamento Site","Site Publico","cervagelada","Fase 1"
CG,"[SITE] Criar pagina de perfil do consumidor","Area logada para consumidor gerenciar dados e enderecos.

Tarefas:
- Criar pagina /perfil
- Exibir e editar: nome, email, telefone
- Listar enderecos com CRUD
- Listar historico de pedidos
- Botao de logout

Criterios de aceite:
- Consumidor gerencia seus dados
- Historico de pedidos acessivel","Open","Alta","Task","EPIC-18: Roteamento Site","Site Publico","cervagelada","Fase 2"
CG,"[BE] Adicionar campo telefone na tabela users","Campo necessario para PIN de entrega e contato.

Tarefas:
- Criar migration adicionando telefone (varchar 20 nullable)
- Atualizar model User com novo campo
- Atualizar RegisterRequest e UserRequest
- Atualizar formulario de registro no painel e site

Criterios de aceite:
- Usuario pode cadastrar telefone
- Campo disponivel para geracao de PIN","Open","Alta","Task","EPIC-18: Roteamento Site","Backend","cervagelada_back_api","Fase 1"
